,content,sentiment
713,"Maaf aplikasinya ketika di buka yang tertulis hanya ""Terjadi Kesalahan Saat menyiapkan Perangkat: silahkan kunci layar untuk menggunakan aplikasi"" Tetapi sudah saya coba berulang kali masih tetap sama sprti it,mohon beritahu cara untuk mengatasinya🙏",-1
861,"untuk sementara bintang 1 dulu, mau bimtek sirekap kepada KPPS, masa akun PPS belum bisa masuk, kunci digital internal server eror H-16 lho masa belum fix ini, mohon dipertimbangkan terkait sidik jari kalau masih bermasalah mohon dinonaktifkan keamanan sidik jarinya, login seperti biasa aja dan masukin kode aunthenticatornya ngak perlu sidik jari, mohon dipertimbangkan masukan dari arus bawah",-1
842,"Dear Developer, membaca deskripsi aplikasi kompatibel untuk OS 7 ke atas, akan tetapi disampaikan Oleh KPU Os 12 ke atas, mohon untuk diperhatikan tidak semua user sirekap rutin mengupdate OS dan Gawai yang digunakan Terimakasih.",-1
947,"Ini kenapa semenjak diupdate versi terbaru proses inisialisasinya selalu gagal. Sudah di coba dari 1 hari yg lalu dan hari ini, tetap masih tidak berhasil.",-1
707,"Aplikasinya mungkin ok,, tapi servernya yang receh,, bolak balik instal ulang hapus histori tetepa aja susah masuk,,, tolong lah ini digunakan di seluruh indonesia servernya yang gahar gituh jangan buat naik darah yang pake.",-1
935,Untuk aplikasi nya bgs cmn sgt disayangkan untuk sistem login nya susah sekali harus melalu google authenticator pdhl google authenticator adalah apk yg TDK ada perbaikan update nya jdi sgt disayangkan tolong diubah untuk sistem loginnya,0
55,"Sekiranya belum siap dengan digitalisasi engga usah dipaksakan, daripada nanti di lapangan menghambat. Untuk menyesuaikan foto sampe muncul bingkai kuning aja susah sekali. Ada yang nyoba nyampe 200an kali jepret tapi tetep tidak muncul bingkai kuning di foto",-1
295,"Ngga usah mempersulit untuk penggunaan, permudah dong dan jg ngga usah muter"" belibet, atau kalaupun apknya blm siap mending jangan diluncurkan dulu, kasian yg udah download harus download lg berkali"". Dan kalau bisa apknya jangan dijadiin 1, mungkin bisa per daerah kek atau apaan biar waktu ngakses ngga lemot apalagi se-indonesia ngakses bareng🙂🙂🙂.",-1
812,"Salah satu aplikasi penting untuk Pemilu, tapi kenapa setiap mau log in sulit. Maaf sebelumnya jika dirasa tidak memungkinkan mending tidak usah pakai aplikasi. Untuk sekarang saja seperti ini, bagaimana jika besok satu Indonesia hampir serentak menggunakan?",-1
931,"apk gaje,mempersulit.spek hp harus tinggi,sayangnya banyak anggota yg memiliki hp di bawah standar.kenapa tidak di informasikan dari awal,kalo begini mau gimana coba udah terlanjut terdaftar",-1
829,"Aplikasi burik, masa gak bisa login sampai pakai 3 HP. Tetep terjadi kesalahan, yang timeout lah, kesalahan kode lah, aplikasi gak jelas, mana pemilu bentar lagi,bisa dipakai gak aplikasi nya",-1
878,"mohon, untuk yang ram nya 2 dibuat bisa buka dengan lancar. karena tidak semua warga punya hp android ram 4. dibuat seringan mungkin aplikasinya. terima kasih",-1
444,"Mohon izin bapak/ibu. Karna aplikasi ini fungsi nya sangat penting untuk pemilu nanti, tolong pastikan sistem dan aplikasi nya sudah siap 100%. Sebab ketika kami bimtek saja aplikasi nya error atau down, bahkan sampai detik ini saya belum bisa login ke aplikasi sirekap. bagaimana nanti ketika di hari pemilihan? Yg semua pemegang aplikasi sirekap login dan menginput data secara bersamaan? Kalo memang sistem dan sumber daya kita belum siap, jangan memaksakan sesuatu yg nanti nya akan menyulitkan.",-1
963,"Aplikasi sulit di buka, dan untuk login masih sulit tulisannya waktu login habiss, tolong di perbaiki lagi aplikasinya terimakasih..",-1
881,"Ini kenapa si apk sirekap, dr kemaren ga bisa"" log in, gagal mulu. Udh diuninstall apknya trus di install lagi tapi nyatanya masih begitu, tolong dong perbaiki apknya",-1
837,Mohon pencerahan nya min. Setiap log in diminta otentikasi ulang / otentikasi gagal tapi barcode tidak muncul Butuh solusi secepatnya. Trimakasih,0
306,"Minimal bikin aplikasi uji coba dan simulasi sejak tahun lalu..., Udah dekat pemilu masih ga karuan begini.., kukira bakal hebat dan keren, ternyata masuk aja ga bisa🤣 Komentar yg lain bahkan mengatakan hasil foto jadi buruk... 🤣",-1
735,"Aplikasi buruk sekali.. siapa yang design dan mengurus servernya, dari kemarin tidak bisa masuk dengan alasan tidak mendapatkan sertifikat digital mulu... Padahal hp gw snap 8gen 2 ram 8 internal 512gb... Kurang apa woy... Buruk ga guna",-1
764,"Parah sekali, untuk sekedar login aja susah. Apa lagi buat nanti pas rekapitulasi suara apa ga lebih parah. Bikin pusing aja. Udah manual aja kebanyakan banyak yang salah apalagi tambah aplikasi seperti ini. Bukanya membantu meringankan malah menambah beban pikiran.",-1
753,"Aplikasi udh bolak balik instal,,.gagal terus mendapatkan kunci digital....aplikasi y blm fux udh diluncurin....menyusahkan operatir si rekap...hp ku ram 8 gb penyimpanan 256gb....ttp aja ga bsa...",-1
709,"Lembaga terkait pernah mempertimbangkan gak sih puluhan dokumen yang harus kami upload nanti, serentak, oleh begitu banyak TPS seIndonesia bakal bisa apa engga? Ini server aja overload. Log in aja gak bisa. Apa lagi nyelesein tugas.",-1
857,"Hallo pengembang,gmna ni aplikasinya,yg katanya bisa membantu kinerja.kok malah susah masuknya.masukkan username atau akun.udah di masukkan lengkap ama sandinya.malah tetep tidak bisa masuk masuk.tolong bantuannya.",-1
977,Susah banget digunakannya . Kemarin malem gabisa submit barcode dicoba berapa kali tetep gabisa. pagi ini tiba2 gabisa log in katanya password salah. ini gimanaaaa? 🥺,-1
953,"Aplikasi belum siap uda di luncurin aja, pemilu di depan mata tp masih bnyak error, bayangkan 1 indonesia akses sama2 di jam yg sama n hari yg sama, apa gak down servernya",-1
472,"Fix, apk ini yang akan membuat proses penguploadan berkas rekap akan berjalan lama. Sedari kegiatan bimtek hingga hari ini, tidak ada tanda2 bisa login, gagal terus. Sampah2, setidaknya menggunakan apk offline aja, lw kek gini pas hari digunakan serentak, langsung down server, KPPS yang kewalahan.",-1
799,"Sok digital tapi server masih amatiran, baru uji coba aja udah bikin pusing, apalagi pas hari H pemilu yg digunakan semua pengguna diseluruh Indonesia bahkan di luar negeri.. kan amburadul, kalo mau digital minimal server nya memadai dulu boss, jangan kek orang kebakaran jenggot",-1
970,Saya tidak bisa masuk apakah kuota masuknya terbatas udah 2 hari saya coba tapi masih gagal mudah''an di hari pemilu tiba server tidak bermasalah kalau gini terus yang ada pekerjaan bertambah lama,-1
177,"Sudah di hapus trus di instal lagi, bersihkan cache tetap saja sama "" gagal mendapatkan kunci digital, timeout, error"" bukannya mempermudah malah mempersulit, atau memang tidak bisa di gunakan di hp infinix saya, kalau memang tidak bisa lebih baik di buat di hp apa saja apk ny bisa di gunakan padahal di deskripsinya bisa di gunakan di perangkat saya.",-1
983,"""Access token is invalid"" Kalau masalah nya seperti ini bagaimana jalan keluarnya.. sudah install beberapa kali pun sama hasil akhir nya..",-1
452,"Kualitas sangat buruk!!!! Masak iya aplikasi sepenting ini masih belum bisa digunain H-14 Jepang pemilu.. Aku emosi ya setiap kapan sempat nya pegang HP coba login, kebangun malem jam berapa pun, nyoba login. Bisa edan lama2.",-1
705,Aplikasi yang sangat ribettt. Saya udh 3 hari ini instal tapi tiap mau login masih aja gagal. Proses inisialisasinya gagal mendapatkan kunci terus. Sinyal lancar bahkan jam 4 saya nyoba login tetap gagal mendapatkan kunci. Klo gak bisa pake aplikasi gausah lh sibuk pake sirekap we. Artinya kita emng belum siap digitalisasi,-1
993,"Aplikasi buriq, tolong diperbaiki lagi sampe fix seblum tgl 14 bsk, biar gak menghambat kegiatan. Klo ga bisa mending ga usah pake sirekap sekalian",-1
823,"Tidak bisa digunakan, ketika digunakan selalu invalid username, padahal username sudah jelas, Dan melalui web bisa, mohon solusinya, jangan persulit, (sirekap) kasian",-1
359,Tolong diperbaiki servernya ........sudah coba login beberapa hari ini tetap tidak bisa masuk selalu autentikasi nya gagal sudah coba berbagai tips yg di beri tetap tidak bisa login jugaa...... Apk nya sangat mengecewakan sekaliii.........,-1
942,"ah belibet bgd penggunaan aplikasi ini,, di web sdah bisa login ketika masuk aplikasi user name dan pass gagal mulu.. setiap login masukin autentikator mulu yg juga gagal terus. ini aplikasi untuk mempermudah pekerjaan atau malah menyulitkan pekerjaan sih",-1
869,"aplikasi gagal autentikasi terus, sudah sesuai arahan, tapi selalu gagal autentikasi, coba diperhatikan lagi ke pihak pengembang, supaya laancar, pemilu sebentar lagi, apk masih seperti ini trims",-1
949,"Banyak yang gak bisa login, harusnya ada CS yang bisa dihubungi untuk mengarahkan. PPS dan PPK aja blm tau kalo gagal login itu kenapa. Tolong min update terus tapi gak bisa masuk2 juga",-1
959,"Aplikasinya buruk sekali,ini setelah pembaruan gak bisa sama sekali. Mohon diperbaiki kembali.login aja udah susah.",-1
804,"Yahhh, kalau belum siap dan harus ada update versi berikutnya lagi jangan dilaunching dulu lahhhh, mana loadingnya minta ampun, sama servernya yang mahal dong, dananya kan gede tuh, dikemanain?wwkwkk",-1
885,Padahal udh 3x update ya ini knp masih pas login malah muncul gagal mendapatkan sertifikat digital. Hadehh ini hp ram udh gede bgt loh android jg Udeh versi 13 tp masih aja ga bsa bkin kerjaan😮‍💨,-1
483,"Gagal Login terus, terkendala di sertifikat digital. Mohon perbaikan🙏🙏🙏saran perbaikan, aplikasi ini bisa di akses di hp samsung, namun tidak bisa di akses di hp Vivo, Xiomi, dan hp lainnya selain Samsung.",-1
720,"Saya apresiasi KPU sudah brupaya memperbaiki evaluasi hal hal buruk yang kemungkinan terjadi sperti pemilu 2019,, tapi dengan hadirnya SIREKAP justru akan memunculkan permasalahan baru,. Kemungkinan server down dan kita tidak bisa lanjut penghitungan berikutnya kalo penghitungan yang pertama blum selesai. Tolong sirekapnya di buat offline aja. Jadi kpps tidak tergantung dengan server saat itu🙏",-1
714,Update terbaru malah ngk bisa loginkan pake id pass yg sama dengan sebelumnya kan aneh aplikasinya.. Tolong masih bnyk bug.. Klo ngk bisa digitalisasi ngk usah dipaksakan,-1
987,Kualitasnya ditingkatkan lagi. Ini sangat buruk. Land yang cukup lama dan tidak menggambarkan aplikasi yang bersangkutan dengan kemajuan negara. Intinya ini sangat kurang dari 50%,-1
245,"Liat ulasan teman teman lain, sepertinya aplikasinya memang belum sempurna. Harusnya di uji cobanya beberapa bulan sebelumnya kalo bisa, klo gini sempit waktunya cuma 2 minggu ke hari H. Mending jgan menggunakan aplikasi si rekap soalnya takut pas hari H nya susah",-1
769,"tolong tingkatkan kualitas gambar yg dihasilkan dari app ini, kamera saya cukup baik tp gambar yg dihasilkan menjadi tidak jelas. Tambahkan fitur manual focus & flash",-1
398,Dana gede tapi buat apk nya jelek sekali. Pas daftar aja susah tidak praktis ribet sampai sekarang kmi belum bisa akses. Ini sudah -14 acara pesta rakyat nya. Daftar login akun saja seperti ini. Bayangkan saja nanti kalo 1660**** sekian yg akses kalo rekap data nanti. Ini apk jebol server nya. Terimakasih,-1
818,"Aplikasi tidak stabil, dengan deadline pekerjaan yg singkat ini sangat mempersulit para sirekap... Mohon pada layout log in, kasih opsi forgot password.. Saya yakin orang2 di KPU RI atau mitra yg dipilih KPU untuk masalah ini adalah orang kompeten",-1
860,Seharusnya lebih mematenkan kondisi server sebelum meluncurkan aplikasi yang seperti ini. Saya yakin nanti dilapangannya bakal bermasalah dalam upload banyak foto di aplikasi ini,-1
666,Jujur ga ngerti sama cara kerjanya...saya mau login kalo lewat link yg di kirim lewat chat KPU nya itu bisa login tapi giliran ke aplikasi nya ini malah ga bisa katanya Password nya salah atau username nya salah padahal saya udah ngisi dengan teliti dan benar tapi ttp salah,-1
991,"2x sudah jadi operator sirekap, dan tetap seperti ini masalahnya, terlalu memaksakan untuk digitalisasi padahal kenyataan belum siap, jika seperti ini apa kabar 14 februari ckckckck",-1
286,"Meminta persyaratan dengan hp spek minimum android 10 ke atas, kalo bisa andoroid 13. Tapi, aplikasi sendiri banyak kendala Kalo gak bisa mengikuti perkembangan digitalisasi ya gak usah nanggung kalo buat aplikasinya. Rekrut para ahli buat aplikasi supaya ringan dan minim kendala. Terkesan memaksa ngebuat aplikasinya dan hanya buat bahan percobaan (beta)",-1
814,Bintang 1 sih parah pokoknya udah bisa login pas logout gabisa dipake login lgi padahal email dan password udah bener tpi di keterangan nya email atau password invalid. Gausa memaksakan kalo aplikasinya masih kaya gini mah heheheheh,-1
748,Min mau nanya saya mau melakukan inisialisasi aplikasi knpa error' terus ya min keterangannya gini Gagal mendapatkan sertifikat digita: failed to store private key.. Saya menggunakan hp google pixel 4 apa hpnya yg ngga support apa ada pengaturan di hp yg harus di setting kembali ya min.. mohon bantuannya min.,0
504,"Sangat tidak layak digunakan saat pemilu nanti, sekedar mendeteksi koneksi internet diperangkat yang digunakan saja masih sering erorr, kalau tidak siap untuk digitalisasi tidak usah dipergunakan aplikasi ini, bukannya membantu malah merepotkan kami yg bertugas langsung di TPS.",-1
740,"Untuk perhelatan yang di adakan 5 tahun sekali, seharusnya untuk digitalisasi sudah matang, dan bimtek serta hal"" Yg berkaitan dengan teknologi terkini di lakukan jauh hari, waktu kurang dr sebulan masih melakukan ujicoba sepertinya terlalu beresiko dan terkesan dipaksakan, jika memang menuju lebih baik saran aja untuk hal digitalisasi minim 6 bulan sudah fix, dan uji coba di bulan ke 4 sebelum hari H",-1
645,"Sebelum update versi terbaru bisa login tapi setelah update jadi gk bisa masuk dgn username dan password yg sama ,sangat² aneh belum hari H aja pada error gimana kalo pas hari pemilu nanti ,se indonesia berbarengan dengan hari yang sma, tolong lah ditingkat kan lagi aplikasi nya",-1
573,"Apalagi ga jelas, internet saya ga ke detect disini. Ini acara besar loh server dan database mesti siap, karena nanti 1 indonesia serentak membuka aplikasi ini. Klo bgni yg ada malah mempersulit tugas operator dan klo memang ga siap lbh baik kembali manual saja lah",-1
925,"Untuk developer pembuat jikallau memang aplikasi ini tidak benar"" bisa membantu besok d lapangan untuk apa dibuat..sedangkan waktu awal sdah terjadi kesalahn entah itu eror ,tidak bisa login ,masalah server Terus bagaimana besok jikalau hari H masih seperti ini..apa tidak mempersulit petugas yang menjalankan proses peehitungan",-1
815,"Kacau kacau apk kacau, udah ganti pw, udah sidik jari eh pas mau nyoba masuk gabisa malah ""terjadi kesalahan saat melakukan inisialisasi aplikasi"" haduh gimana ini mana penting banget nanti pas perhitungan harus pake apk ini tapi masih banyak kurangnya",-1
365,Apk nya sudah di instal n unistal beberapa kali masih juga tidak bisa masuk. Setelah menambah user name dan password lalu masuk ke sidik jari. tulisan nya malah muncul terjadi kesalahan saat melakukan inisialisasi aplikasi.,-1
493,"Sudah update versi terbaru pun g guna gagal login sandi yg dimasukkan salah terus, padahal login di versi web bisa masuk akun sirekap, tapi giliran masuk aplikasi dg sandi yg sama gagal terus. Kenapa g langsung di web aja, pakai aplikasi percuma. Tanya sana sini sama2 g ada yg tahu, g jelas sama sekali. Tolong diperbaiki lagi menjelang hari H menyusahkan.",-1
754,"Sampai hari ini masih update terus,yang tadinya sudah bisa masuk. Sekarang malah gak bisa,user dan sandi ditolak terus. Ini siap nya kapan ya apk?takutnya nanti menghambat saat dipakai di hari H. Kemarin saja sudah sangat susah buat sekedar aktivasi. Di update terbaru malah stuck di user dan sandi.",-1
746,"Ini apk kemaren sebelum di update bisa masuk pake email sama password nya bener, sekarang setelah di update ga bisa sama sekali masuk email atau password yg sama malahan salah. Ini apk gajlas bangett",1
986,"Ini aplikasi tiba"" keluar sendiri dari usernamenya dan ketika login kembali tidak bisa padahal sudah dimasukkan sesuai dengan username dan kata sandi yg di daftarkan, mhon untuk lebih menyempurnakan lagi aplikasi ini",-1
866,"Era digitalisasi? Kayanya belum siap,ini aplikasi semenjak dibuat saja sangat susah sekali untuk digunakan apalagi nanti saat pemilu yg pengguna akan lebih banyak lagi 😒",-1
831,"Inilah sistem di negara kita, dr dulu gak pernh berubah, aplikasi error, jaringan bermasalah dll.. ingin rasanya mencaci maki tp percuma pasti mereka tetap gak akan peduli",-1
304,"Saya kira setelah diupdate aplikasi SiREKAP akan berjalan lebih baik dan lebih cepat. Ternyata malah tidak bisa login. Saya pakai dua HP, SM M11 dan SM A03s yamg ram 4. Sama semua hasilnya. Invalid Username or Password. Padahal sebelum diupdate saya mudah login nya di aplikasi SiREKAP versi sebelumnya.",-1
176,"Untuk loginnya susah dan lama , setiap kali update kita di minta untuk login kembali saat login pasword kita masukkan terkadang tidak bisa. Kecuali di hapus dulu data sirekapnya dan instal kembali aplikasinya , menurut saya sangat ribet mohon di permudah lagi 🙏🏻",1
763,"Ini ntah aplikasinya yang buruk atau hpnya yg buruk ya. Sudah berulang kali di instal tetap aja msh gak bisa login Selalu yang muncul ""terjadi kesalahan dalam penyiapan perangkat""",-1
569,"Tolong ini aplikasi Sebenarnya sudah siap apa belum. loginnya susah. Pas udah login harus update setelah update malah logout, dan loginnya susah salah terus. Ada solusi tidak sih ya ampun.",-1
592,Tolong aplikasinya diperbaiki. Untuk login saja gagal terus dan lamaaaaaaaa. Digitalisasi untuk mempermudah dan mempercepat jangan malah menghambat,-1
701,"Aplikasi belum siap sudah di suru download, makanya eror terus, yang di salahin penggunanya, jaringan jeleklah gak perhatikan petunjuklah, padahal apk nya yang belum siap tapi sudah di paksa di rilis... Apk di buat untuk mempermudah, ini malah mempersulit",-1
921,"Aplikasi ampas gak bisa di buka, eror di penyiapan, tidak bisa terhubung ke internet, ada tulisan ""terjadi kesalahan pada penyiapan perangkat"" aplikasi apaan ini. Mana solusi nya masalah eror ini.",-1
311,"Sangat susah penggunaannya karena banyak kendala, seharisnya di perbaiki secepatnya sebelum mepet pemilu Kalau bisa di hilangkan saja pengguanaan kunci layar, agar mempermudah, karena keseringan eror terkecuali aplikasinya mudah digunalan dan siap pakai",-1
802,"digitalisasi itu fungsinya mempercepat dan memudahkan fungsi user, bukan malah menambah beban si user ..",-1
884,Apa tidak ada server yang lebih kuat sehingga Aplikasi tidak lelet dan sering eror.. Jangan dipaksakan digitalisasi klok belom siap,-1
230,"Kecewa saya sudah masuk ke aplikasi nya, tiba tiba akun keluar setelah Update Aplikasi saya di suruh login ulang tapi invalid padahal Username dan pasword nya sudah benar, please si rekap bagaimana ini, mana pemilu semakin dekat, dan akun saya cuman satu",-1
551,Aplikasi apaan ini.. Biar login aja ngga bisa. Banyak bangat kendalanya. Gimna nanti hari H nya. Katanya mempermudah. Justru ini mempersulit KPPS. Jangan sok digitalisasi kalau benda semacam begini saja masih jelek 👹👺👹👺,-1
541,"aplikasi dan pengembang terima kasih sudah di dengar dan di update, jadi bisa lihat passwordnya, namun untuk di halaman login jika sedang maintence server jdi sedikit ribet karena harus terus mengisi sandi nya. Mohon di permudah lagi. terima kasih untuk pengembang nya 👍",1
783,"Loading nya lama banget, padahal uda make wifi trus nyoba pake paket malah sama aja, sekiranya emg sering eror mending di perbaiki takutnya pas di lapangan malah eror""",-1
838,Peluncuran apk tanmpa simulasi tidak efektif dan pastinya akan banyak kendala. Sistem nya kurang optimal sehingga login ke profil itu loading,-1
193,"Tidak sesuai Dengan yang di Butuhkan KPPS, Mending seperti yang dulu, Manual tp Acaranya sukses. Ini datanya sudah Aktif di geogle chroom tapi setelah masuk ke ApK ini malah sandinya salah, padahal udah sama sandinya seperti sebelumnya. Hummmm😌😤😤",-1
358,"Katanya sudah melebihi 150% kesediaan server, tapi aplikasi belum bisa lancar di akses, login aja susah. Saya dukung digitalisasi untuk mempermudah, kalau malah mempersulit lebih baik siapkan dulu matang"". Yang ada nanti hari H malah mempersulit. Semoga cepat terselesaikan dan siap digunakan.",-1
741,"Ini aplikasi dibuat untuk membantu kinerja para kpps, tapi kenapa aplikasi ini sangat susah untuk diloginkan, mulai dari jam 07.00 sampe detik ini saya tidak bisa login dan selalu mengatakan eror, tolong buat para developer untuk memperbaiki aplikasi ini karna kami para sirekap sudah dipaksa untuk login",-1
161,"Harusnya aplikasinya di kembangkan sejak lama. Ini kesannya terlihat seperti baru d kembangkan kemarin sore. Jangankan untuk masuk dan menjalankan, inisialisasi nya saja susah. Entah time out, atau error yg lain. Terus dilihat dari komentar yg lain ada yg hasil foto jadi buram lah apa lah. Bukanya memudahkan malah menambah masalah rasanya.",-1
794,"Aplikasinya sangat buruk dan lambat, sepertinya ini akan memperlambat bukan mempercepat. Mohon kepada developer agar memperbaiki sistem yang di buat",-1
941,Aplikasi terburuk.. udah mw dekat pemilu buat sign in jh butuh waktu yg pnjg dan lama. Hadeuh.. klo blm siap digitalisasi sbaikny gk usah merumitkan yg sbnrny mudah .,-1
791,"Ini aplikasi maunya apa sih, kalo g di update g bisa dibuka, Kemaren login g bisa karena gabisa mendapatkan sertifikat digital BSrE gatau kenapa Lah hari ini malahan g bisa login karena username sama password tidak sesuai, padahal kemaren sudah bisa diganti",-1
974,"Loading lama banget, padahal cuma mau login doang, minimal kalo blm siap jangan di pake, bikin susah anggota kkps aja, yang seharusnya cepet eh malah jadi lama gara"" nunggu scan"" gak jelas.",-1
382,Sebaik nya klo belum siap untuk di pakai mending jangan dulu pakai sistem digital nanti malah menyusahkan saat perekapan yah mending manual saja klo mau sistem digital saya mohon dengan sangat persiapkan dengan betul betul jangan bikin susah buat kedepannya. Welllll....,-1
480,"Sumpah aplikasinya gk bisa dipakai, padahal saya sudah update tapi tetap aja gk bisa login...lalu saya hapus dan instal kembali hasilnya tidak bisa juga...padahal username serta password yg saya masukkan sesuai tapi selalu username dan password vailed yg keluar...ini bagaimana ya min solusinya",-1
820,Bagaimana sih sebenarnya cara kerja aplikasi ini? Di link website ADHOC bisa login dengan password yang sudah di ganti melalui chat WA KPU bahkan menggunakan 2FA security code tapi di aplikasi ini tidak bisa login bahkan tertulis keterang invalid username or password,-1
47,"Sebelumnya saya ingin mengapresiasi digitalisasi dlm aspek yg berkaitan dgn pemilu, tapi: 1.masalah log in, banyak error yg terjadi saat login melalui aplikasi, sementara melalui web tdk ada kendala, 2.dibuat panduan elektronik yg jelas berupa video terkait mengatasi permasalah login ini. Karena saat bimtek banyak yg tdk kebagian ikut meeting zoom. 3.hendaknya dilakukan pengujian jauh2 hari setidaknya 1 tahun sebelum peluncuran, jgn sampai yg bertujuan u mempermudah malah mempersulit. Ty",-1
