,content,score,Year,Month,Day,sentiment,content_token,stemmed,text_string
904,"pemilu sudah di depan mata. seharusnya di hari hari penting menunju pemilu seperti ini, segala persiapan sudah siap. sungguh disayangkan aplikasi sepenting ini masih sering down dan masih terus melalui tahap pembaruan dimana seharusnya sudah bisa diepersiaapakan jauh jauh hari.",2,2024,1,27,-1,"['pemilu', 'mata', 'menunju', 'pemilu', 'persiapan', 'sungguh', 'disayangkan', 'aplikasi', 'sepenting', 'down', 'tahap', 'pembaruan', 'dimana', 'diepersiaapakan']","['milu', 'mata', 'menunju', 'milu', 'siap', 'sungguh', 'sayang', 'aplikasi', 'penting', 'down', 'tahap', 'baru', 'mana', 'diepersiaapakan']",milu mata menunju milu siap sungguh sayang aplikasi penting down tahap baru mana diepersiaapakan
998,"aplikasi msih belum siap.. server tidak memadai.. sering eror dn tak bisa login, apalagi kondisi di desa yg sulit sinyal....",1,2024,1,27,-1,"['aplikasi', 'msih', 'server', 'memadai', 'eror', 'dn', 'login', 'kondisi', 'desa', 'yg', 'sulit', 'sinyal']","['aplikasi', 'msih', 'server', 'pada', 'eror', 'dn', 'login', 'kondisi', 'desa', 'yg', 'sulit', 'sinyal']",aplikasi msih server pada eror login kondisi desa sulit sinyal
733,kemarin bisa di buka...eh sekarang coba di buka lagi keterangannya versi aplikasi sudah tidak dpt di gunakan...tolonglah it sirekap sempurnakan aplikasi nya !!!,1,2024,1,28,-1,"['kemarin', 'buka', 'eh', 'coba', 'buka', 'keterangannya', 'versi', 'aplikasi', 'dpt', 'tolonglah', 'it', 'sempurnakan', 'aplikasi', 'nya']","['kemarin', 'buka', 'eh', 'coba', 'buka', 'terang', 'versi', 'aplikasi', 'dpt', 'tolong', 'it', 'sempurna', 'aplikasi', 'nya']",kemarin buka coba buka terang versi aplikasi tolong sempurna aplikasi
848,rumornya pas pakai hp merk samsung ndabisa ya ? pun secara spesifikasi sudah sesuai requeirement. sekelas kpu masak ndabisa buat aplikasi yang user friendly dan handal ? apa servernya kuat ngehandle user sirekap se-indonesia ? bikin susah apa malah mudah ?,1,2024,1,28,-1,"['rumornya', 'pas', 'pakai', 'hp', 'merk', 'samsung', 'ndabisa', 'ya', 'spesifikasi', 'sesuai', 'requeirement', 'sekelas', 'kpu', 'masak', 'ndabisa', 'aplikasi', 'user', 'friendly', 'handal', 'servernya', 'kuat', 'ngehandle', 'user', 'indonesia', 'bikin', 'susah', 'mudah']","['rumor', 'pas', 'pakai', 'hp', 'merk', 'samsung', 'ndabisa', 'ya', 'spesifikasi', 'sesuai', 'requeirement', 'kelas', 'kpu', 'masak', 'ndabisa', 'aplikasi', 'user', 'friendly', 'handal', 'servernya', 'kuat', 'ngehandle', 'user', 'indonesia', 'bikin', 'susah', 'mudah']",rumor pakai merk samsung ndabisa spesifikasi sesuai requeirement kelas masak ndabisa aplikasi user friendly handal servernya kuat ngehandle user indonesia bikin susah mudah
919,"udah masuk tapi lama prosesnya ujungnya gagal, dan tadi dibuka apknya malah gabisa, versi ini sudah tidak dapat digunakan. tolong ini kenapa😭",3,2024,1,28,0,"['udah', 'masuk', 'prosesnya', 'ujungnya', 'gagal', 'dibuka', 'apknya', 'gabisa', 'versi', 'tolong']","['udah', 'masuk', 'proses', 'ujung', 'gagal', 'buka', 'apknya', 'gabisa', 'versi', 'tolong']",udah masuk proses ujung gagal buka apknya gabisa versi tolong
269,"sumpah. aplikasinya nggak bisa di gunakan. muncul ""aplikasi versi ini tidak dapat digunakan"". padahal udah hapus insatal lagi. dan update. juga fersi terbaru. 😣. mempersulit kerjaan saja.",1,2024,1,28,-1,"['sumpah', 'aplikasinya', 'nggak', 'muncul', 'aplikasi', 'versi', 'udah', 'hapus', 'insatal', 'update', 'fersi', 'terbaru', 'mempersulit', 'kerjaan']","['sumpah', 'aplikasi', 'nggak', 'muncul', 'aplikasi', 'versi', 'udah', 'hapus', 'insatal', 'update', 'fersi', 'baru', 'sulit', 'kerja']",sumpah aplikasi nggak muncul aplikasi versi udah hapus insatal update fersi baru sulit kerja
950,"sudah update aplikasi nya, tetapi saat inisialisasi lama banget sampai 2-3 menit terus muncul ""gagal mendapatkan kunci digital: timeout"" aplikasi authenticator sudah terinstall juga",1,2024,1,28,-1,"['update', 'aplikasi', 'nya', 'inisialisasi', 'banget', '2', 'menit', 'muncul', 'gagal', 'kunci', 'digital', 'timeout', 'aplikasi', 'authenticator', 'terinstall']","['update', 'aplikasi', 'nya', 'inisial', 'banget', '2', 'menit', 'muncul', 'gagal', 'kunci', 'digital', 'timeout', 'aplikasi', 'authenticator', 'terinstall']",update aplikasi inisial banget menit muncul gagal kunci digital timeout aplikasi authenticator terinstall
590,"tolong solusinya, akun sirekap saya sudah login pas proses inisiasi malah muncul gagal mendapatkan kunci digital. udah berkali-kali ganti sandi masih aja tetep sama dari bimtek sampai hari ini. tolong petunjuknya dong supaya apknya bisa berhasil🙏",3,2024,1,28,0,"['tolong', 'solusinya', 'akun', 'login', 'pas', 'proses', 'inisiasi', 'muncul', 'gagal', 'kunci', 'digital', 'udah', 'berkali', 'kali', 'ganti', 'sandi', 'aja', 'tetep', 'bimtek', 'tolong', 'petunjuknya', 'apknya', 'berhasil']","['tolong', 'solusi', 'akun', 'login', 'pas', 'proses', 'inisiasi', 'muncul', 'gagal', 'kunci', 'digital', 'udah', 'kali', 'kali', 'ganti', 'sandi', 'aja', 'tetep', 'bimtek', 'tolong', 'tunjuk', 'apknya', 'hasil']",tolong solusi akun login proses inisiasi muncul gagal kunci digital udah kali kali ganti sandi tetep bimtek tolong tunjuk apknya hasil
757,"menggunakan sebuah aplikasi atau teknologi itu sangat membantu jika versi aplikasinya bagus, klo ini bkn mendukung atau membantu yg ada buat ribet karena versi aplikasinya terlalu jelek blm layak untuk di pakai.",1,2024,1,28,-1,"['aplikasi', 'teknologi', 'membantu', 'versi', 'aplikasinya', 'bagus', 'klo', 'bkn', 'mendukung', 'membantu', 'yg', 'ribet', 'versi', 'aplikasinya', 'jelek', 'blm', 'layak', 'pakai']","['aplikasi', 'teknologi', 'bantu', 'versi', 'aplikasi', 'bagus', 'klo', 'bkn', 'dukung', 'bantu', 'yg', 'ribet', 'versi', 'aplikasi', 'jelek', 'blm', 'layak', 'pakai']",aplikasi teknologi bantu versi aplikasi bagus dukung bantu ribet versi aplikasi jelek layak pakai
96,"buruk sekali. tadi bimtek, sehararusnya simulasi, belajar cara menggunakan aplikasi sirekap, ternyata 1 jam loading terus. sampai pulang belum bisa masuk. semua peserta operator sirekap gak ada yg bisa masuk. setelah lama nunggu malah tulisannya: terjadi kesalahan saat inisialisasi aplikasi. gagal mendapatkan kunci digital: timeout gagal mendapatkan kunci digital: internal server error. 🤡",1,2024,1,28,-1,"['buruk', 'bimtek', 'sehararusnya', 'simulasi', 'belajar', 'aplikasi', '1', 'jam', 'loading', 'pulang', 'masuk', 'peserta', 'operator', 'gak', 'yg', 'masuk', 'nunggu', 'tulisannya', 'kesalahan', 'inisialisasi', 'aplikasi', 'gagal', 'kunci', 'digital', 'timeout', 'gagal', 'kunci', 'digital', 'internal', 'server', 'error']","['buruk', 'bimtek', 'sehararusnya', 'simulasi', 'ajar', 'aplikasi', '1', 'jam', 'loading', 'pulang', 'masuk', 'serta', 'operator', 'gak', 'yg', 'masuk', 'nunggu', 'tulis', 'salah', 'inisial', 'aplikasi', 'gagal', 'kunci', 'digital', 'timeout', 'gagal', 'kunci', 'digital', 'internal', 'server', 'error']",buruk bimtek sehararusnya simulasi ajar aplikasi loading pulang masuk serta operator masuk nunggu tulis salah inisial aplikasi gagal kunci digital timeout gagal kunci digital internal server error
384,"bagaimana kejelasan aplikasi ini, sudah tidak bisa login tiba² aplikasi tidak bisa digunakan, sudah berulang kali uninstal dan instal ttap sama aja, bagaimana kami anak bangsa mnjlankan pemilu sedangkan aplikasinya saja error terus. mohon di perbaiki lagi waktu sudah sangat mepet, mana belum begitu paham dengan aplikasi ini bagaimana bisa belajar dengan aplikasi tdk bisa login. terimakasih",1,2024,1,28,-1,"['kejelasan', 'aplikasi', 'login', 'tiba²', 'aplikasi', 'berulang', 'kali', 'uninstal', 'instal', 'ttap', 'aja', 'anak', 'bangsa', 'mnjlankan', 'pemilu', 'aplikasinya', 'error', 'mohon', 'perbaiki', 'mepet', 'paham', 'aplikasi', 'belajar', 'aplikasi', 'tdk', 'login', 'terimakasih']","['jelas', 'aplikasi', 'login', 'tiba', 'aplikasi', 'ulang', 'kali', 'uninstal', 'instal', 'ttap', 'aja', 'anak', 'bangsa', 'mnjlankan', 'milu', 'aplikasi', 'error', 'mohon', 'baik', 'mepet', 'paham', 'aplikasi', 'ajar', 'aplikasi', 'tdk', 'login', 'terimakasih']",jelas aplikasi login tiba aplikasi ulang kali uninstal instal ttap anak bangsa mnjlankan milu aplikasi error mohon baik mepet paham aplikasi ajar aplikasi login terimakasih
874,"saran untuk pengembang aplikasi ,, tolong tingkat kan lagi sinergi aplikasi sirekap ini, bila perlu bisa di akses lewat laptop atau komputer,, biar lebih maksimal.. terimakasih",2,2024,1,28,-1,"['saran', 'pengembang', 'aplikasi', 'tolong', 'tingkat', 'sinergi', 'aplikasi', 'akses', 'laptop', 'komputer', 'biar', 'maksimal', 'terimakasih']","['saran', 'kembang', 'aplikasi', 'tolong', 'tingkat', 'sinergi', 'aplikasi', 'akses', 'laptop', 'komputer', 'biar', 'maksimal', 'terimakasih']",saran kembang aplikasi tolong tingkat sinergi aplikasi akses laptop komputer biar maksimal terimakasih
785,"susah ribet yg di bawah enak untuk atasan ,ngga dapat kode yg salah yg punya data atas tinggal bilang di cek datanya di coba lagi ,sosialisasi harus jauh"" sblum di gunakan apalagi percobaan gini 🥵🥵",3,2024,1,28,0,"['susah', 'ribet', 'yg', 'enak', 'atasan', 'ngga', 'kode', 'yg', 'salah', 'yg', 'data', 'tinggal', 'bilang', 'cek', 'datanya', 'coba', 'sosialisasi', 'sblum', 'percobaan', 'gini']","['susah', 'ribet', 'yg', 'enak', 'atas', 'ngga', 'kode', 'yg', 'salah', 'yg', 'data', 'tinggal', 'bilang', 'cek', 'data', 'coba', 'sosialisasi', 'sblum', 'coba', 'gin']",susah ribet enak atas ngga kode salah data tinggal bilang data coba sosialisasi sblum coba
204,"aplikasi aneh, jaringan sudah bagus kok malah ada tulisan ""terjadi kesalahan dalam penyiapan perangkat: pastikan anda terhubung ke jaringan internet"" padahal sudah pakai data seluler dan wifi tetep aja kayak gitu. aplikasi belum layak",1,2024,1,28,-1,"['aplikasi', 'aneh', 'jaringan', 'bagus', 'tulisan', 'kesalahan', 'penyiapan', 'perangkat', 'pastikan', 'terhubung', 'jaringan', 'internet', 'pakai', 'data', 'seluler', 'wifi', 'tetep', 'aja', 'kayak', 'gitu', 'aplikasi', 'layak']","['aplikasi', 'aneh', 'jaring', 'bagus', 'tulis', 'salah', 'siap', 'perangkat', 'pasti', 'hubung', 'jaring', 'internet', 'pakai', 'data', 'seluler', 'wifi', 'tetep', 'aja', 'kayak', 'gitu', 'aplikasi', 'layak']",aplikasi aneh jaring bagus tulis salah siap perangkat pasti hubung jaring internet pakai data seluler wifi tetep kayak gitu aplikasi layak
344,"tidak bisa dibuka setelah diinstal, sdh di hapus dan diinstal ulang msh tak bisa di buka. padahal ram penyimpanan masih cukup. bahkan beberapa apk lainnya sdh di hapus, namun tdk bisa. mohon diperbaiki🙏🏿.",3,2024,1,28,0,"['dibuka', 'diinstal', 'sdh', 'hapus', 'diinstal', 'ulang', 'msh', 'buka', 'ram', 'penyimpanan', 'apk', 'sdh', 'hapus', 'tdk', 'mohon', 'diperbaiki']","['buka', 'diinstal', 'sdh', 'hapus', 'diinstal', 'ulang', 'msh', 'buka', 'ram', 'simpan', 'apk', 'sdh', 'hapus', 'tdk', 'mohon', 'baik']",buka diinstal hapus diinstal ulang buka simpan hapus mohon baik
712,"maaf aplikasinya ketika di buka yang tertulis hanya ""terjadi kesalahan saat menyiapkan perangkat: silahkan kunci layar untuk menggunakan aplikasi"" tetapi sudah saya coba berulang kali masih tetap sama sprti it,mohon beritahu cara untuk mengatasinya🙏",2,2024,1,28,-1,"['maaf', 'aplikasinya', 'buka', 'tertulis', 'kesalahan', 'perangkat', 'silahkan', 'kunci', 'layar', 'aplikasi', 'coba', 'berulang', 'kali', 'sprti', 'it', 'mohon', 'beritahu', 'mengatasinya']","['maaf', 'aplikasi', 'buka', 'tulis', 'salah', 'perangkat', 'silah', 'kunci', 'layar', 'aplikasi', 'coba', 'ulang', 'kali', 'sprti', 'it', 'mohon', 'beritahu', 'atas']",maaf aplikasi buka tulis salah perangkat silah kunci layar aplikasi coba ulang kali sprti mohon beritahu atas
860,"untuk sementara bintang 1 dulu, mau bimtek sirekap kepada kpps, masa akun pps belum bisa masuk, kunci digital internal server eror h-16 lho masa belum fix ini, mohon dipertimbangkan terkait sidik jari kalau masih bermasalah mohon dinonaktifkan keamanan sidik jarinya, login seperti biasa aja dan masukin kode aunthenticatornya ngak perlu sidik jari, mohon dipertimbangkan masukan dari arus bawah",1,2024,1,28,-1,"['bintang', '1', 'bimtek', 'kpps', 'akun', 'pps', 'masuk', 'kunci', 'digital', 'internal', 'server', 'eror', 'h', '16', 'lho', 'fix', 'mohon', 'dipertimbangkan', 'terkait', 'sidik', 'jari', 'bermasalah', 'mohon', 'dinonaktifkan', 'keamanan', 'sidik', 'jarinya', 'login', 'aja', 'masukin', 'kode', 'aunthenticatornya', 'ngak', 'sidik', 'jari', 'mohon', 'dipertimbangkan', 'masukan', 'arus']","['bintang', '1', 'bimtek', 'kpps', 'akun', 'pps', 'masuk', 'kunci', 'digital', 'internal', 'server', 'eror', 'h', '16', 'lho', 'fix', 'mohon', 'timbang', 'kait', 'sidik', 'jari', 'masalah', 'mohon', 'nonaktif', 'aman', 'sidik', 'jari', 'login', 'aja', 'masukin', 'kode', 'aunthenticatornya', 'ngak', 'sidik', 'jari', 'mohon', 'timbang', 'masuk', 'arus']",bintang bimtek kpps akun masuk kunci digital internal server eror mohon timbang kait sidik jari masalah mohon nonaktif aman sidik jari login masukin kode aunthenticatornya ngak sidik jari mohon timbang masuk arus
841,"dear developer, membaca deskripsi aplikasi kompatibel untuk os 7 ke atas, akan tetapi disampaikan oleh kpu os 12 ke atas, mohon untuk diperhatikan tidak semua user sirekap rutin mengupdate os dan gawai yang digunakan terimakasih.",2,2024,1,29,-1,"['dear', 'developer', 'membaca', 'deskripsi', 'aplikasi', 'kompatibel', 'os', '7', 'kpu', 'os', '12', 'mohon', 'diperhatikan', 'user', 'rutin', 'mengupdate', 'os', 'gawai', 'terimakasih']","['dear', 'developer', 'baca', 'deskripsi', 'aplikasi', 'kompatibel', 'os', '7', 'kpu', 'os', '12', 'mohon', 'perhati', 'user', 'rutin', 'mengupdate', 'os', 'gawai', 'terimakasih']",dear developer baca deskripsi aplikasi kompatibel mohon perhati user rutin mengupdate gawai terimakasih
947,"ini kenapa semenjak diupdate versi terbaru proses inisialisasinya selalu gagal. sudah di coba dari 1 hari yg lalu dan hari ini, tetap masih tidak berhasil.",1,2024,1,29,-1,"['semenjak', 'diupdate', 'versi', 'terbaru', 'proses', 'inisialisasinya', 'gagal', 'coba', '1', 'yg', 'berhasil']","['semenjak', 'diupdate', 'versi', 'baru', 'proses', 'inisial', 'gagal', 'coba', '1', 'yg', 'hasil']",semenjak diupdate versi baru proses inisial gagal coba hasil
706,"aplikasinya mungkin ok,, tapi servernya yang receh,, bolak balik instal ulang hapus histori tetepa aja susah masuk,,, tolong lah ini digunakan di seluruh indonesia servernya yang gahar gituh jangan buat naik darah yang pake.",1,2024,1,29,-1,"['aplikasinya', 'ok', 'servernya', 'receh', 'bolak', 'instal', 'ulang', 'hapus', 'histori', 'tetepa', 'aja', 'susah', 'masuk', 'tolong', 'indonesia', 'servernya', 'gahar', 'gituh', 'darah', 'pake']","['aplikasi', 'ok', 'servernya', 'receh', 'bolak', 'instal', 'ulang', 'hapus', 'histori', 'tetepa', 'aja', 'susah', 'masuk', 'tolong', 'indonesia', 'servernya', 'gahar', 'gituh', 'darah', 'pake']",aplikasi servernya receh bolak instal ulang hapus histori tetepa susah masuk tolong indonesia servernya gahar gituh darah pake
934,untuk aplikasi nya bgs cmn sgt disayangkan untuk sistem login nya susah sekali harus melalu google authenticator pdhl google authenticator adalah apk yg tdk ada perbaikan update nya jdi sgt disayangkan tolong diubah untuk sistem loginnya,3,2024,1,29,0,"['aplikasi', 'nya', 'bgs', 'cmn', 'sgt', 'disayangkan', 'sistem', 'login', 'nya', 'susah', 'melalu', 'google', 'authenticator', 'pdhl', 'google', 'authenticator', 'apk', 'yg', 'tdk', 'perbaikan', 'update', 'nya', 'jdi', 'sgt', 'disayangkan', 'tolong', 'diubah', 'sistem', 'loginnya']","['aplikasi', 'nya', 'bgs', 'cmn', 'sgt', 'sayang', 'sistem', 'login', 'nya', 'susah', 'lalu', 'google', 'authenticator', 'pdhl', 'google', 'authenticator', 'apk', 'yg', 'tdk', 'baik', 'update', 'nya', 'jdi', 'sgt', 'sayang', 'tolong', 'ubah', 'sistem', 'loginnya']",aplikasi sayang sistem login susah lalu google authenticator pdhl google authenticator baik update sayang tolong ubah sistem loginnya
55,"sekiranya belum siap dengan digitalisasi engga usah dipaksakan, daripada nanti di lapangan menghambat. untuk menyesuaikan foto sampe muncul bingkai kuning aja susah sekali. ada yang nyoba nyampe 200an kali jepret tapi tetep tidak muncul bingkai kuning di foto",1,2024,1,29,-1,"['digitalisasi', 'engga', 'dipaksakan', 'lapangan', 'menghambat', 'menyesuaikan', 'foto', 'sampe', 'muncul', 'bingkai', 'kuning', 'aja', 'susah', 'nyoba', 'nyampe', '200an', 'kali', 'jepret', 'tetep', 'muncul', 'bingkai', 'kuning', 'foto']","['digitalisasi', 'engga', 'paksa', 'lapang', 'hambat', 'sesuai', 'foto', 'sampe', 'muncul', 'bingkai', 'kuning', 'aja', 'susah', 'nyoba', 'nyampe', '200an', 'kali', 'jepret', 'tetep', 'muncul', 'bingkai', 'kuning', 'foto']",digitalisasi engga paksa lapang hambat sesuai foto sampe muncul bingkai kuning susah nyoba nyampe 200an kali jepret tetep muncul bingkai kuning foto
295,"ngga usah mempersulit untuk penggunaan, permudah dong dan jg ngga usah muter"" belibet, atau kalaupun apknya blm siap mending jangan diluncurkan dulu, kasian yg udah download harus download lg berkali"". dan kalau bisa apknya jangan dijadiin 1, mungkin bisa per daerah kek atau apaan biar waktu ngakses ngga lemot apalagi se-indonesia ngakses bareng🙂🙂🙂.",1,2024,1,29,-1,"['ngga', 'mempersulit', 'penggunaan', 'permudah', 'jg', 'ngga', 'muter', 'belibet', 'apknya', 'blm', 'mending', 'diluncurkan', 'kasian', 'yg', 'udah', 'download', 'download', 'lg', 'berkali', 'apknya', 'dijadiin', '1', 'daerah', 'kek', 'biar', 'ngakses', 'ngga', 'lemot', 'indonesia', 'ngakses', 'bareng']","['ngga', 'sulit', 'guna', 'mudah', 'jg', 'ngga', 'muter', 'belibet', 'apknya', 'blm', 'mending', 'luncur', 'kasi', 'yg', 'udah', 'download', 'download', 'lg', 'kali', 'apknya', 'dijadiin', '1', 'daerah', 'kek', 'biar', 'ngakses', 'ngga', 'lot', 'indonesia', 'ngakses', 'bareng']",ngga sulit guna mudah ngga muter belibet apknya mending luncur kasi udah download download kali apknya dijadiin daerah biar ngakses ngga indonesia ngakses bareng
811,"salah satu aplikasi penting untuk pemilu, tapi kenapa setiap mau log in sulit. maaf sebelumnya jika dirasa tidak memungkinkan mending tidak usah pakai aplikasi. untuk sekarang saja seperti ini, bagaimana jika besok satu indonesia hampir serentak menggunakan?",1,2024,1,29,-1,"['salah', 'aplikasi', 'pemilu', 'log', 'in', 'sulit', 'maaf', 'dirasa', 'mending', 'pakai', 'aplikasi', 'besok', 'indonesia', 'serentak']","['salah', 'aplikasi', 'milu', 'log', 'in', 'sulit', 'maaf', 'rasa', 'mending', 'pakai', 'aplikasi', 'besok', 'indonesia', 'serentak']",salah aplikasi milu sulit maaf rasa mending pakai aplikasi besok indonesia serentak
930,"apk gaje,mempersulit.spek hp harus tinggi,sayangnya banyak anggota yg memiliki hp di bawah standar.kenapa tidak di informasikan dari awal,kalo begini mau gimana coba udah terlanjut terdaftar",1,2024,1,29,-1,"['apk', 'gaje', 'mempersulit', 'spek', 'hp', 'sayangnya', 'anggota', 'yg', 'memiliki', 'hp', 'standar', 'informasikan', 'kalo', 'gimana', 'coba', 'udah', 'terlanjut', 'terdaftar']","['apk', 'gaje', 'sulit', 'spek', 'hp', 'sayang', 'anggota', 'yg', 'milik', 'hp', 'standar', 'informasi', 'kalo', 'gimana', 'coba', 'udah', 'lanjut', 'daftar']",gaje sulit spek sayang anggota milik standar informasi kalo gimana coba udah lanjut daftar
